Algorithm Name,Time Taken (ms),Input Count,Min,Max
Merge Sort,0.5987007170915604,100,1,1000
Selection Sort,0.9308001026511192,100,1,1000
Bubble Sort,0.9808000177145004,100,1,1000
Improved Bubble Sort,0.9043999016284943,100,1,1000
Quick Sort,0.17879996448755264,100,1,1000
Improved Quick Sort,0.2748994156718254,100,1,1000
Radix Sort,0.6472999230027199,100,1,1000
Merge Sort,5.877399817109108,1000,1,1000
Selection Sort,53.512999787926674,1000,1,1000
Bubble Sort,82.00700022280216,1000,1,1000
Improved Bubble Sort,115.36309961229563,1000,1,1000
Quick Sort,5.011699162423611,1000,1,1000
Improved Quick Sort,5.3807999938726425,1000,1,1000
Radix Sort,5.365699529647827,1000,1,1000
Merge Sort,61.36240065097809,10000,1,1000
Selection Sort,5930.681300349534,10000,1,1000
Bubble Sort,10048.724699765444,10000,1,1000
Improved Bubble Sort,12351.57800000161,10000,1,1000
Quick Sort,29.94570042937994,10000,1,1000
Improved Quick Sort,32.91929978877306,10000,1,1000
Radix Sort,25.985900312662125,10000,1,1000
Merge Sort,0.8058995008468628,100,1,100
Selection Sort,0.8958000689744949,100,1,100
Bubble Sort,2.3754993453621864,100,1,100
Improved Bubble Sort,2.649799920618534,100,1,100
Quick Sort,0.4062997177243233,100,1,100
Improved Quick Sort,0.40670018643140793,100,1,100
Radix Sort,0.5748998373746872,100,1,100
Merge Sort,6.930400617420673,1000,1,100
Selection Sort,68.88839974999428,1000,1,100
Bubble Sort,78.02540063858032,1000,1,100
Improved Bubble Sort,142.9328005760908,1000,1,100
Quick Sort,6.409000605344772,1000,1,100
Improved Quick Sort,4.850899800658226,1000,1,100
Radix Sort,3.1460002064704895,1000,1,100
Merge Sort,59.98640041798353,10000,1,100
Selection Sort,6501.756800338626,10000,1,100
Bubble Sort,12827.21779961139,10000,1,100
Improved Bubble Sort,10289.839000441134,10000,1,100
Quick Sort,41.45679995417595,10000,1,100
Improved Quick Sort,39.78000022470951,10000,1,100
Radix Sort,13.75459972769022,10000,1,100
Merge Sort,0.24960003793239594,100,-1000,10000
Selection Sort,0.5266992375254631,100,-1000,10000
Bubble Sort,1.0717995464801788,100,-1000,10000
Improved Bubble Sort,0.9182002395391464,100,-1000,10000
Quick Sort,0.4040999338030815,100,-1000,10000
Improved Quick Sort,0.22010039538145065,100,-1000,10000
Merge Sort,2.4507995694875717,1000,-1000,1000
Selection Sort,89.43140041083097,1000,-1000,1000
Bubble Sort,85.40819957852364,1000,-1000,1000
Improved Bubble Sort,109.63950026780367,1000,-1000,1000
Quick Sort,3.018200397491455,1000,-1000,1000
Improved Quick Sort,2.3045996204018593,1000,-1000,1000
Merge Sort,30.708099715411663,10000,-1000,1000
Selection Sort,6300.686599686742,10000,-1000,1000
Bubble Sort,14869.751400314271,10000,-1000,1000
Improved Bubble Sort,16275.73040034622,10000,-1000,1000
Quick Sort,78.3527996391058,10000,-1000,1000
Improved Quick Sort,93.65069959312677,10000,-1000,1000
Sorted Merge Sort,0.7127998396754265,100,1,1000
Sorted Selection Sort,0.6111003458499908,100,1,1000
Sorted Bubble Sort,0.5663000047206879,100,1,1000
Sorted Improved Bubble Sort,0.10010041296482086,100,1,1000
Sorted Quick Sort,2.0987996831536293,100,1,1000
Sorted Improved Quick Sort,1.2942003086209297,100,1,1000
Sorted Radix Sort,0.2647005021572113,100,1,1000
Sorted Merge Sort,3.1520994380116463,1000,1,1000
Sorted Selection Sort,0.6384998559951782,1000,1,1000
Sorted Bubble Sort,0.5788998678326607,1000,1,1000
Sorted Improved Bubble Sort,0.10180007666349411,1000,1,1000
Sorted Quick Sort,1.7250003293156624,1000,1,1000
Sorted Improved Quick Sort,1.3084998354315758,1000,1,1000
Sorted Radix Sort,0.2666004002094269,1000,1,1000
Sorted Merge Sort,41.518399491906166,10000,1,1000
Sorted Selection Sort,0.6047002971172333,10000,1,1000
Sorted Bubble Sort,0.5751000717282295,10000,1,1000
Sorted Improved Bubble Sort,0.10070018470287323,10000,1,1000
Sorted Quick Sort,1.2934999540448189,10000,1,1000
Sorted Improved Quick Sort,1.6725994646549225,10000,1,1000
Sorted Radix Sort,0.2701999619603157,10000,1,1000
